reference_id,label
marts_E00000,GPP
marts_E00001,FPP
marts_E00002,GGPP
marts_E00003,GGPP
marts_E00004,GGPP
marts_E00005,GGPP
marts_E00006,GGPP
marts_E00007,GPP
marts_E00008,GGPP
marts_E00009,GGPP
marts_E00010,GGPP
marts_E00011,IDS
marts_E00012,GPP
marts_E00013,GPP
marts_E00014,GPP
marts_E00015,FPP
marts_E00016,GGPP
marts_E00017,GGPP
marts_E00018,FPP
marts_E00019,GGPP
marts_E00020,FPP
marts_E00021,FPP
marts_E00022,FPP
marts_E00023,IDS
marts_E00024,EDSQ
marts_E00025,EDSQ
marts_E00026,GGPP
marts_E00027,GGPP
marts_E00029,FPP
marts_E00030,FPP
marts_E00031,GPP
marts_E00032,FPP
marts_E00033,GPP
marts_E00034,FPP
marts_E00035,FPP
marts_E00036,GGPP
marts_E00037,GGPP
marts_E00038,GGPP
marts_E00039,FPP
marts_E00040,GPP
marts_E00042,GPP
marts_E00043,FPP
marts_E00044,GPP
marts_E00045,FPP
marts_E00046,GPP
marts_E00047,GPP
marts_E00048,FPP
marts_E00049,GPP
marts_E00050,GPP
marts_E00051,GGPP
marts_E00052,FPP
marts_E00053,FPP
marts_E00054,FPP
marts_E00055,GGPP
marts_E00056,IDS
marts_E00057,FPP
marts_E00058,GPP
marts_E00059,FPP
marts_E00060,GPP
marts_E00061,GGPP
marts_E00062,GGPP
marts_E00063,GGPP
marts_E00064,GPP
marts_E00065,GPP
marts_E00066,GPP
marts_E00067,GPP
marts_E00068,GPP
marts_E00069,GPP
marts_E00070,GPP
marts_E00071,GPP
marts_E00072,GPP
marts_E00073,GPP
marts_E00074,GPP
marts_E00075,GPP
marts_E00076,GPP
marts_E00077,GPP
marts_E00078,GPP
marts_E00079,GPP
marts_E00080,GPP
marts_E00081,GPP
marts_E00082,GPP
marts_E00083,GPP
marts_E00085,GPP
marts_E00086,GPP
marts_E00089,GPP
marts_E00092,GPP
marts_E00093,FPP
marts_E00095,GGPP
marts_E00096,GPP
marts_E00097,IDS
marts_E00098,GGPP
marts_E00099,EDSQ
marts_E00101,GGPP
marts_E00102,GGPP
marts_E00103,FPP
marts_E00104,IDS
marts_E00105,IDS
marts_E00106,GGPP
marts_E00107,FPP
marts_E00108,FPP
marts_E00109,FPP
marts_E00110,EDSQ
marts_E00112,FPP
marts_E00113,GPP
marts_E00116,EDSQ
marts_E00117,GPP
marts_E00118,GPP
marts_E00119,EDSQ
marts_E00120,EDSQ
marts_E00123,IDS
marts_E00124,EDSQ
marts_E00125,GGPP
marts_E00126,IDS
marts_E00127,IDS
marts_E00128,EDSQ
marts_E00129,GPP
marts_E00130,GPP
marts_E00131,GPP
marts_E00132,EDSQ
marts_E00134,GFPP
marts_E00135,IDS
marts_E00136,GFPP
marts_E00137,IDS
marts_E00138,GPP
marts_E00140,EDSQ
marts_E00141,EDSQ
marts_E00142,FPP
marts_E00143,FPP
marts_E00144,IDS
marts_E00145,IDS
marts_E00146,IDS
marts_E00147,FPP
marts_E00148,EDSQ
marts_E00149,EDSQ
marts_E00150,FPP
marts_E00151,GGPP
marts_E00153,GPP
marts_E00154,GPP
marts_E00155,GGPP
marts_E00156,EDSQ
marts_E00158,FPP
marts_E00159,FPP
marts_E00160,EDSQ
marts_E00161,EDSQ
marts_E00162,GPP
marts_E00165,EDSQ
marts_E00166,IDS
marts_E00167,GPP
marts_E00168,DMAPP
marts_E00169,FPP
marts_E00170,FPP
marts_E00171,GGPP
marts_E00172,GGPP
marts_E00175,GGPP
marts_E00176,EDSQ
marts_E00177,GPP
marts_E00178,FPP
marts_E00179,IDS
marts_E00180,GPP
marts_E00181,GPP
marts_E00182,EDSQ
marts_E00183,GGPP
marts_E00185,GPP
marts_E00186,GGPP
marts_E00188,GPP
marts_E00189,EDSQ
marts_E00191,IDS
marts_E00192,IDS
marts_E00193,IDS
marts_E00194,IDS
marts_E00195,FPP
marts_E00196,IDS
marts_E00197,EDSQ
marts_E00198,EDSQ
marts_E00199,EDSQ
marts_E00200,EDSQ
marts_E00201,EDSQ
marts_E00202,GPP
marts_E00203,EDSQ
marts_E00204,EDSQ
marts_E00205,IDS
marts_E00206,GPP
marts_E00207,IDS
marts_E00208,FPP
marts_E00209,FPP
marts_E00210,EDSQ
marts_E00211,IDS
marts_E00212,IDS
marts_E00221,FPP
marts_E00222,FPP
marts_E00223,GPP
marts_E00224,GPP
marts_E00225,GPP
marts_E00226,GPP
marts_E00227,GPP
marts_E00228,IDS
marts_E00229,GPP
marts_E00230,GPP
marts_E00231,EDSQ
marts_E00233,FPP
marts_E00234,GPP
marts_E00235,GGPP
marts_E00236,FPP
marts_E00237,GPP
marts_E00238,EDSQ
marts_E00239,EDSQ
marts_E00240,GPP
marts_E00241,GPP
marts_E00242,GPP
marts_E00244,FPP
marts_E00245,FPP
marts_E00246,FPP
marts_E00247,GPP
marts_E00248,GPP
marts_E00249,FPP
marts_E00250,GPP
marts_E00251,GPP
marts_E00252,FPP
marts_E00253,FPP
marts_E00254,2xGGPP
marts_E00255,IDS
marts_E00256,IDS
marts_E00257,IDS
marts_E00258,DMAPP
marts_E00259,FPP
marts_E00263,C35
marts_E00264,EDSQ
marts_E00266,IDS
marts_E00268,FPP
marts_E00269,FPP
marts_E00270,FPP
marts_E00271,FPP
marts_E00272,GPP
marts_E00273,GGPP
marts_E00274,GGPP
marts_E00275,EDSQ
marts_E00276,FPP
marts_E00277,GPP
marts_E00278,FPP
marts_E00279,GPP
marts_E00282,GGPP
marts_E00286,FPP
marts_E00287,FPP
marts_E00288,GPP
marts_E00289,EDSQ
marts_E00290,FPP
marts_E00291,FPP
marts_E00300,IDS
marts_E00301,IDS
marts_E00302,GGPP
marts_E00303,DMAPP
marts_E00304,2xGGPP
marts_E00305,GGPP
marts_E00306,EDSQ
marts_E00307,EDSQ
marts_E00308,GGPP
marts_E00310,GGPP
marts_E00311,FPP
marts_E00312,GGPP
marts_E00313,GGPP
marts_E00314,GPP
marts_E00315,GPP
marts_E00316,FPP
marts_E00317,GGPP
marts_E00318,IDS
marts_E00319,GPP
marts_E00320,GGPP
marts_E00321,FPP
marts_E00322,IDS
marts_E00323,FPP
marts_E00325,FPP
marts_E00326,GPP
marts_E00327,FPP
marts_E00328,FPP
marts_E00329,FPP
marts_E00330,FPP
marts_E00331,GPP
marts_E00332,GPP
marts_E00333,GPP
marts_E00334,GPP
marts_E00336,GGPP
marts_E00337,GGPP
marts_E00338,GGPP
marts_E00340,GPP
marts_E00341,FPP
marts_E00343,GPP
marts_E00344,IDS
marts_E00346,IDS
marts_E00347,IDS
marts_E00348,EDSQ
marts_E00349,FPP
marts_E00350,IDS
marts_E00352,IDS
marts_E00353,FPP
marts_E00355,DMAPP
marts_E00356,GGPP
marts_E00357,EDSQ
marts_E00360,IDS
marts_E00364,FPP
marts_E00365,FPP
marts_E00366,GPP
marts_E00367,FPP
marts_E00368,GPP
marts_E00369,FPP
marts_E00370,IDS
marts_E00371,GPP
marts_E00372,FPP
marts_E00373,FPP
marts_E00374,FPP
marts_E00375,FPP
marts_E00376,FPP
marts_E00377,IDS
marts_E00378,FPP
marts_E00379,IDS
marts_E00380,IDS
marts_E00381,IDS
marts_E00382,GGPP
marts_E00383,GGPP
marts_E00384,FPP
marts_E00385,GPP
marts_E00386,EDSQ
marts_E00388,IDS
marts_E00391,FPP
marts_E00392,FPP
marts_E00393,FPP
marts_E00394,GGPP
marts_E00395,GGPP
marts_E00396,GGPP
marts_E00397,FPP
marts_E00399,GPP
marts_E00400,GPP
marts_E00401,GPP
marts_E00402,GPP
marts_E00403,EDSQ
marts_E00404,EDSQ
marts_E00405,EDSQ
marts_E00406,EDSQ
marts_E00407,EDSQ
marts_E00408,EDSQ
marts_E00409,GGPP
marts_E00410,2xGGPP
marts_E00411,FPP
marts_E00412,EDSQ
marts_E00413,FPP
marts_E00414,GPP
marts_E00415,GPP
marts_E00416,GPP
marts_E00417,GPP
marts_E00418,FPP
marts_E00419,EDSQ
marts_E00420,EDSQ
marts_E00421,GPP
marts_E00422,GGPP
marts_E00423,IDS
marts_E00424,EDSQ
marts_E00425,FPP
marts_E00426,GGPP
marts_E00427,GGPP
marts_E00428,GGPP
marts_E00429,GGPP
marts_E00430,IDS
marts_E00431,EDSQ
marts_E00432,IDS
marts_E00433,EDSQ
marts_E00436,GGPP
marts_E00439,GPP
marts_E00440,GPP
marts_E00441,IDS
marts_E00444,GPP
marts_E00445,FPP
marts_E00446,IDS
marts_E00447,IDS
marts_E00448,IDS
marts_E00449,FPP
marts_E00450,FPP
marts_E00451,FPP
marts_E00452,GGPP
marts_E00453,GGPP
marts_E00454,GFPP
marts_E00455,IDS
marts_E00456,GFPP
marts_E00457,IDS
marts_E00458,FPP
marts_E00460,EDSQ
marts_E00461,IDS
marts_E00463,GGPP
marts_E00464,IDS
marts_E00465,IDS
marts_E00466,IDS
marts_E00469,IDS
marts_E00470,2xGGPP
marts_E00472,IDS
marts_E00473,EDSQ
marts_E00474,EDSQ
marts_E00475,EDSQ
marts_E00476,2xGGPP
marts_E00477,IDS
marts_E00478,IDS
marts_E00479,IDS
marts_E00480,IDS
marts_E00481,IDS
marts_E00482,2xGGPP
marts_E00483,EDSQ
marts_E00484,EDSQ
marts_E00485,IDS
marts_E00486,IDS
marts_E00487,EDSQ
marts_E00488,EDSQ
marts_E00489,2xGGPP
marts_E00490,2xGGPP
marts_E00491,2xGGPP
marts_E00492,2xGGPP
marts_E00494,2xGGPP
marts_E00496,EDSQ
marts_E00497,IDS
marts_E00498,EDSQ
marts_E00499,EDSQ
marts_E00500,EDSQ
marts_E00501,FPP
marts_E00502,IDS
marts_E00503,IDS
marts_E00504,IDS
marts_E00505,2xGGPP
marts_E00506,2xGGPP
marts_E00508,IDS
marts_E00509,FPP
marts_E00510,GGPP
marts_E00511,FPP
marts_E00512,GPP
marts_E00513,GPP
marts_E00515,GPP
marts_E00516,GPP
marts_E00517,GPP
marts_E00518,IDS
marts_E00519,IDS
marts_E00520,IDS
marts_E00521,EDSQ
marts_E00522,GPP
marts_E00523,IDS
marts_E00524,IDS
marts_E00525,IDS
marts_E00526,2xGGPP
marts_E00527,IDS
marts_E00528,IDS
marts_E00530,EDSQ
marts_E00531,EDSQ
marts_E00532,EDSQ
marts_E00534,GPP
marts_E00535,GPP
marts_E00536,GPP
marts_E00537,GPP
marts_E00538,EDSQ
marts_E00539,IDS
marts_E00540,IDS
marts_E00541,GGPP
marts_E00542,FPP
marts_E00543,FPP
marts_E00544,IDS
marts_E00545,FPP
marts_E00546,FPP
marts_E00548,IDS
marts_E00549,IDS
marts_E00550,IDS
marts_E00551,GGPP
marts_E00553,GPP
marts_E00554,EDSQ
marts_E00555,GPP
marts_E00556,GPP
marts_E00557,IDS
marts_E00558,IDS
marts_E00559,GPP
marts_E00560,EDSQ
marts_E00561,EDSQ
marts_E00562,GPP
marts_E00563,IDS
marts_E00564,IDS
marts_E00566,GGPP
marts_E00569,FPP
marts_E00570,IDS
marts_E00571,IDS
marts_E00572,GPP
marts_E00573,GGPP
marts_E00574,IDS
marts_E00575,GFPP
marts_E00576,GFPP
marts_E00578,GFPP
marts_E00579,FPP
marts_E00580,GPP
marts_E00581,GGPP
marts_E00582,GGPP
marts_E00583,GGPP
marts_E00584,GGPP
marts_E00585,GPP
marts_E00586,GGPP
marts_E00590,GFPP
marts_E00591,GGPP
marts_E00592,GGPP
marts_E00593,FPP
marts_E00594,FPP
marts_E00595,FPP
marts_E00596,FPP
marts_E00597,FPP
marts_E00598,GPP
marts_E00599,FPP
marts_E00600,FPP
marts_E00601,FPP
marts_E00602,FPP
marts_E00603,GPP
marts_E00604,GPP
marts_E00605,IDS
marts_E00608,FPP
marts_E00609,FPP
marts_E00610,EDSQ
marts_E00611,FPP
marts_E00612,FPP
marts_E00613,IDS
marts_E00614,FPP
marts_E00615,FPP
marts_E00616,FPP
marts_E00617,GGPP
marts_E00618,FPP
marts_E00619,FPP
marts_E00620,GGPP
marts_E00621,FPP
marts_E00622,FPP
marts_E00623,FPP
marts_E00624,FPP
marts_E00625,FPP
marts_E00626,IDS
marts_E00627,FPP
marts_E00628,FPP
marts_E00629,FPP
marts_E00630,GPP
marts_E00631,FPP
marts_E00632,GPP
marts_E00633,FPP
marts_E00634,FPP
marts_E00635,FPP
marts_E00636,FPP
marts_E00637,GPP
marts_E00638,GGPP
marts_E00639,GPP
